Feature,Gain,Split,Retained
rolling_mean_7,40090105917.0,429,True
District,13406259715.0,298,True
lag_1,9443012308.0,277,True
rolling_mean_30,8479540917.0,362,True
lag_3,2217281283.0,152,True
lag_7,498331367.0,146,True
WeekOfYear,429818419.0,384,True
price_change_30d,427802556.0,287,True
price_change_7d,424798543.0,313,True
price_change_1d,416913748.0,235,True
rolling_std_30,325032237.0,320,True
rolling_std_7,284925723.0,289,True
lag_14,275503574.0,118,True
lag_21,131751966.0,128,True
records_aggregated,111052254.0,123,True
lag_30,96523247.0,95,True
month_cos,84577830.0,105,False
month_sin,83354513.0,75,False
Month,80619427.0,85,False
Year,43210426.0,46,False
DayOfWeek,34692650.0,41,False
dow_sin,16159726.0,12,False
Quarter,7681972.0,4,False
dow_cos,6891111.0,14,False
is_outlier_iqr,991419.0,2,False
days_since_last_observation,0.0,0,False
min_price_zero_flag,0.0,0,False
