Feature,Gain,Split,Gain_pct
rolling_mean_7,128118467093.20508,803,41.75
rolling_mean_30,86912673746.60938,331,28.322
lag_1,50170255961.19531,568,16.349
District,17000588116.199219,620,5.54
lag_3,10836047690.304688,378,3.531
lag_7,5221575385.797852,229,1.702
price_change_1d,1905685931.3984375,820,0.621
price_change_7d,1775018051.1015625,740,0.578
lag_21,1682555323.1953125,196,0.548
price_change_30d,1154954069.8046875,457,0.376
rolling_std_7,631344645.296875,428,0.206
lag_14,598449368.5917969,204,0.195
rolling_std_30,454278482.7910156,318,0.148
WeekOfYear,219680049.20703125,192,0.072
lag_30,160038888.19921875,108,0.052
records_aggregated,26852475.9921875,50,0.009
