Feature,Gain,Split,Retained
rolling_mean_7,47069842892.0,151,True
lag_1,34478260718.0,155,True
WeekOfYear,10219519406.0,575,True
rolling_mean_30,8455159044.0,164,True
District,8163417268.0,358,True
month_cos,5891923404.0,180,True
lag_3,2664927374.0,44,True
lag_14,2267176414.0,155,True
price_change_30d,2009933212.0,150,True
rolling_std_30,1783640080.0,152,True
Year,1395765670.0,93,True
price_change_1d,1300438150.0,97,True
price_change_7d,1155675670.0,102,True
Month,1009578030.0,76,True
lag_21,803462340.0,88,True
lag_30,574570260.0,62,True
lag_7,562408600.0,59,True
rolling_std_7,526681300.0,71,True
month_sin,463100930.0,45,True
records_aggregated,278692710.0,28,True
DayOfWeek,155816150.0,19,False
dow_sin,136221590.0,17,False
Quarter,62783300.0,5,False
dow_cos,32150860.0,6,False
days_since_last_observation,0.0,0,False
min_price_zero_flag,0.0,0,False
is_outlier_iqr,0.0,0,False
