Feature,Gain,Split,Gain_pct
rolling_mean_7,162070063026.0,237,42.511
rolling_mean_30,50113736186.0,107,13.145
WeekOfYear,43613509192.0,385,11.44
District,37884566770.0,471,9.937
month_cos,22815566220.0,176,5.985
lag_14,20803169470.0,61,5.457
price_change_30d,11774979736.0,161,3.089
Month,10112379828.0,42,2.652
Year,10012641872.0,121,2.626
lag_21,4215721142.0,33,1.106
month_sin,3252529978.0,63,0.853
rolling_std_30,2336888774.0,63,0.613
lag_30,1858746804.0,51,0.488
records_aggregated,193927170.0,9,0.051
rolling_std_7,185077640.0,12,0.049
