Feature,Gain,Split,Retained
rolling_mean_7,104965516294.0,321,True
lag_1,57944772818.0,243,True
lag_3,13649885270.0,99,True
District,9416512672.0,472,True
WeekOfYear,6455448462.0,577,True
lag_7,4500732816.0,95,True
month_cos,3246381430.0,230,True
price_change_1d,3030516288.0,214,True
price_change_7d,2864924934.0,204,True
price_change_30d,2637331134.0,230,True
rolling_mean_30,2042655704.0,211,True
rolling_std_30,1750364390.0,215,True
rolling_std_7,1540615820.0,186,True
month_sin,1049984830.0,97,True
lag_14,1013448510.0,120,True
lag_30,907072680.0,110,True
lag_21,822133830.0,122,True
records_aggregated,691517330.0,69,True
Month,594223430.0,65,True
Year,413278160.0,47,False
dow_cos,180908820.0,12,False
is_outlier_iqr,133333960.0,7,False
DayOfWeek,58538730.0,8,False
dow_sin,48676190.0,10,False
min_price_zero_flag,11400070.0,2,False
Quarter,9225720.0,2,False
days_since_last_observation,0.0,0,False
