Feature,Gain,Split,Gain_pct
rolling_mean_7,441922401046.0,800,44.312
lag_7,252198633746.0,378,25.288
District,110520514068.0,1348,11.082
rolling_mean_30,50733008433.0,258,5.087
price_change_7d,43149152980.0,674,4.327
WeekOfYear,25914400020.0,918,2.598
month_cos,20778904058.0,367,2.084
price_change_30d,19028666064.0,390,1.908
rolling_std_30,10544930942.0,313,1.057
month_sin,7894030522.0,171,0.792
Month,3973192328.0,97,0.398
lag_21,3614209784.5,251,0.362
lag_30,3073038112.0,249,0.308
rolling_std_7,2045074088.8984375,240,0.205
lag_14,1316321797.0,176,0.132
records_aggregated,598505420.0,73,0.06
