Feature,Gain,Split,Retained
rolling_mean_7,49362889545.0,315,True
lag_1,30473859314.0,237,True
lag_3,8266049485.0,73,True
WeekOfYear,2712947197.0,602,True
District,2030195382.0,457,True
rolling_mean_30,796203217.0,212,True
price_change_1d,737172775.0,164,True
price_change_7d,625282712.0,172,True
lag_7,517280729.0,74,True
price_change_30d,457044431.0,136,True
rolling_std_30,420255370.0,197,True
Month,360153421.0,96,True
Year,215098578.0,85,True
month_sin,210772355.0,70,True
lag_21,204698581.0,97,True
lag_14,196088032.0,97,True
rolling_std_7,195634160.0,109,True
month_cos,166346182.0,57,False
records_aggregated,144073378.0,70,False
lag_30,135356798.0,65,False
Quarter,14547300.0,5,False
dow_cos,13311432.0,7,False
dow_sin,12996292.0,10,False
DayOfWeek,3571810.0,3,False
days_since_last_observation,0.0,0,False
min_price_zero_flag,0.0,0,False
is_outlier_iqr,0.0,0,False
