Feature,Gain,Split,Gain_pct
rolling_mean_7,239981353759.0,733,61.88
lag_7,68832190087.0,180,17.749
rolling_mean_30,18753348588.0,155,4.836
lag_14,13460666386.0,70,3.471
District,13266658151.0,776,3.421
WeekOfYear,10441717385.0,588,2.692
price_change_7d,7807180875.0,501,2.013
price_change_30d,6968878276.0,247,1.797
Month,4653242880.0,147,1.2
month_sin,1824725094.0,173,0.471
Year,922967047.0,114,0.238
rolling_std_30,551692236.0,127,0.142
lag_21,245620953.0,49,0.063
rolling_std_7,104353427.0,41,0.027
