Feature,Gain,Split,Retained
rolling_mean_7,222048753650.0,456,True
rolling_mean_30,102780997844.0,210,True
lag_1,26042005609.0,366,True
lag_3,8622445701.0,106,True
District,1391531202.0,291,True
lag_7,1273480747.0,106,True
WeekOfYear,1138039122.0,379,True
price_change_1d,1084873059.0,204,True
price_change_7d,899132457.0,250,True
price_change_30d,728134635.0,194,True
rolling_std_30,500299079.0,204,True
lag_14,470122111.0,76,True
month_sin,421115657.0,117,True
Month,402828057.0,111,True
lag_30,396514803.0,132,False
rolling_std_7,319065182.0,152,False
month_cos,252885925.0,84,False
lag_21,245821168.0,98,False
records_aggregated,237167834.0,63,False
Year,110317489.0,33,False
Quarter,23577850.0,6,False
dow_sin,22058431.0,10,False
dow_cos,7534710.0,6,False
DayOfWeek,3977080.0,4,False
days_since_last_observation,0.0,0,False
min_price_zero_flag,0.0,0,False
is_outlier_iqr,0.0,0,False
