Feature,Gain,Split,Retained
rolling_mean_7,94879786450.0,151,True
lag_1,85004805896.0,166,True
lag_3,18201063060.0,52,True
rolling_std_30,11479733046.0,72,True
WeekOfYear,7319451140.0,377,True
District,5835629540.0,232,True
month_cos,4679650440.0,127,True
price_change_7d,3734692000.0,136,True
price_change_1d,3305180114.0,126,True
price_change_30d,2633894552.0,120,True
month_sin,1853769026.0,80,True
rolling_mean_30,1634559160.0,104,True
Month,1501929714.0,66,True
lag_7,1341530252.0,41,True
lag_30,1232003340.0,69,True
is_outlier_iqr,977383608.0,8,True
Year,972802250.0,59,True
rolling_std_7,888447930.0,54,True
records_aggregated,808710830.0,35,True
lag_21,633509940.0,46,True
lag_14,352812640.0,31,False
Quarter,130048400.0,4,False
DayOfWeek,67664740.0,5,False
dow_sin,52672500.0,5,False
dow_cos,44651890.0,4,False
days_since_last_observation,0.0,0,False
min_price_zero_flag,0.0,0,False
