Feature,Gain,Split,Gain_pct
rolling_mean_7,760909512446.0,602,67.127
lag_7,140995961356.0,136,12.439
price_change_7d,59782203202.0,410,5.274
month_cos,31343033806.0,186,2.765
rolling_std_30,30596480388.0,49,2.699
price_change_30d,26549850396.0,141,2.342
District,25895277928.0,314,2.284
rolling_mean_30,23173855688.0,32,2.044
month_sin,15604650176.0,106,1.377
WeekOfYear,12782394020.0,171,1.128
Year,2547179496.0,32,0.225
lag_30,1966390140.0,20,0.173
lag_21,530562540.0,5,0.047
Month,498798724.0,11,0.044
records_aggregated,209977000.0,2,0.019
rolling_std_7,155969540.0,5,0.014
is_outlier_iqr,0.0,0,0.0
