Feature,Gain,Split,Gain_pct
rolling_mean_7,323605286788.0,604,49.178
District,109775433122.0,995,16.683
rolling_mean_30,96277052192.0,325,14.631
WeekOfYear,29447268709.0,793,4.475
lag_30,28846077890.0,232,4.384
lag_14,20980272048.0,116,3.188
price_change_30d,9979340292.0,306,1.517
Year,8844737438.0,227,1.344
lag_21,7966882492.0,83,1.211
month_sin,7642672404.0,227,1.161
rolling_std_30,5735941223.0,226,0.872
Month,4164739980.1015625,167,0.633
records_aggregated,2890301650.0,111,0.439
rolling_std_7,1866697982.0,164,0.284
