Feature,Gain,Split,Retained
rolling_mean_7,77116487658.0,325,True
lag_1,47893451655.0,293,True
lag_3,11070412170.0,103,True
District,5329388791.0,514,True
rolling_mean_30,5111389680.0,377,True
WeekOfYear,4380968270.0,676,True
price_change_7d,2431329039.0,359,True
price_change_1d,2123214120.0,227,True
rolling_std_30,1712396965.0,374,True
lag_30,1151392498.0,174,True
rolling_std_7,886526460.0,217,True
month_sin,843543990.0,149,True
price_change_30d,800003347.0,184,True
lag_7,755137092.0,97,True
lag_21,595855501.0,137,True
lag_14,589983331.0,141,True
Year,582517870.0,109,True
records_aggregated,464826360.0,100,True
Month,393474670.0,75,True
month_cos,329275430.0,85,False
is_outlier_iqr,246584430.0,25,False
DayOfWeek,95972880.0,23,False
dow_sin,19455080.0,7,False
dow_cos,7054550.0,2,False
Quarter,1785660.0,1,False
days_since_last_observation,0.0,0,False
min_price_zero_flag,0.0,0,False
