Feature,Gain,Split,Gain_pct
rolling_mean_7,408014801103.4907,1284,86.2
lag_3,39622868454.80078,440,8.371
WeekOfYear,6666423119.0,1399,1.408
price_change_7d,5394826495.714897,1460,1.14
rolling_mean_30,3957440963.4208984,590,0.836
District,2392317298.4960938,1366,0.505
lag_7,2038334319.2070312,444,0.431
month_sin,1928895385.0,393,0.408
lag_14,893092982.1992188,457,0.189
price_change_30d,883489752.4882812,599,0.187
rolling_std_30,408290340.9653559,613,0.086
lag_30,371790115.61328125,395,0.079
Month,321461532.5,113,0.068
Year,237522883.0,80,0.05
records_aggregated,206136085.40234375,162,0.044
