Feature,Gain,Split,Retained
rolling_mean_7,132004649016.0,397,True
lag_1,84312985166.0,330,True
lag_3,22379060481.0,157,True
WeekOfYear,5791255679.0,882,True
month_sin,4166885149.0,198,True
District,2681315661.0,671,True
rolling_mean_30,2052344572.0,379,True
Year,1668939904.0,57,True
lag_7,1312099335.0,99,True
Month,1008278097.0,156,True
price_change_30d,945523812.0,259,True
lag_14,814247049.0,218,True
rolling_std_30,760440828.0,386,True
price_change_1d,734317274.0,241,True
price_change_7d,701601081.0,253,True
lag_30,675422422.0,212,True
records_aggregated,501984148.0,146,True
rolling_std_7,464395120.0,314,False
lag_21,406568293.0,199,False
DayOfWeek,175776153.0,55,False
month_cos,94626074.0,59,False
dow_cos,24092997.0,23,False
days_since_last_observation,12769060.0,2,False
dow_sin,12749851.0,9,False
Quarter,5719740.0,2,False
min_price_zero_flag,0.0,0,False
is_outlier_iqr,0.0,0,False
