Feature,Gain,Split,Gain_pct
rolling_mean_7,123291449497.5,946,67.432
lag_7,31416669938.0,177,17.183
rolling_mean_30,9868952316.90625,140,5.398
price_change_7d,5343421090.0,662,2.922
District,3334697399.0,538,1.824
price_change_30d,3214345089.40625,407,1.758
lag_14,2344375336.0,50,1.282
WeekOfYear,1178323402.0,272,0.644
rolling_std_30,1037073202.8984375,74,0.567
month_sin,977032165.0,211,0.534
Year,233942624.0,51,0.128
month_cos,221060290.0,98,0.121
rolling_std_7,206262945.69921875,72,0.113
lag_30,156364790.8984375,48,0.086
lag_21,14361990.0,8,0.008
