Feature,Gain,Split,Retained
rolling_mean_7,19333667418.0,308,True
lag_1,8690669172.0,210,True
lag_3,3685676764.0,70,True
District,686223404.0,353,True
price_change_30d,483232470.0,273,True
WeekOfYear,447968866.0,390,True
price_change_1d,363731581.0,179,True
price_change_7d,327678686.0,196,True
rolling_mean_30,327172069.0,177,True
rolling_std_30,268004373.0,208,True
lag_7,258692670.0,74,True
month_sin,240798621.0,167,True
rolling_std_7,147670492.0,138,True
lag_14,84010257.0,68,True
lag_21,81889937.0,84,True
lag_30,81106675.0,69,True
month_cos,79687144.0,64,True
Year,78254953.0,62,True
records_aggregated,68796238.0,73,False
Month,57527657.0,48,False
dow_cos,4464629.0,4,False
DayOfWeek,3316785.0,4,False
Quarter,3176212.0,3,False
dow_sin,1811905.0,2,False
days_since_last_observation,0.0,0,False
min_price_zero_flag,0.0,0,False
is_outlier_iqr,0.0,0,False
