Feature,Gain,Split,Gain_pct
rolling_mean_7,469244569425.7593,3512,33.5
WeekOfYear,287474370074.2488,7521,20.523
Month,132120788911.69922,1564,9.432
price_change_30d,106582398546.86047,3838,7.609
price_change_7d,94406946640.56215,3472,6.74
lag_7,61779352822.6073,2664,4.41
month_sin,46674813865.80078,1202,3.332
District,37970354670.39453,5919,2.711
rolling_mean_30,31867582008.513977,3619,2.275
lag_30,25890285826.06543,2819,1.848
lag_21,25315923852.995117,3013,1.807
Year,22976706095.703125,1066,1.64
rolling_std_30,21294157320.67163,3655,1.52
lag_14,18351991747.864746,3009,1.31
month_cos,8059783528.568359,600,0.575
rolling_std_7,7795750110.8784485,2908,0.557
records_aggregated,2944194091.0058594,1197,0.21
