District,Commodity,Arrival_Date,Modal_Price,min_price_zero_flag,is_outlier_iqr,records_aggregated,Year,Month,DayOfWeek,WeekOfYear,Quarter,lag_1,lag_3,lag_7,lag_14,lag_21,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,rolling_std_30,days_since_last_observation,month_sin,month_cos,dow_sin,dow_cos,price_change_1d,price_change_7d,price_change_30d
Ariyalur,Banana - Green,2026-01-29,3800.0,False,False,1.0,2026.0,1.0,3.0,5.0,1.0,3800.0,3750.0,3750.0,3750.0,3800.0,3750.0,3766.6666666666665,3719.6428571428573,25.819888974716083,148.03608526194182,1.0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,0.013333333333333334,0.013333333333333334
Ariyalur,Pumpkin,2026-03-01,2200.0,False,False,2.0,2026.0,3.0,6.0,9.0,1.0,1800.0,1750.0,1800.0,1750.0,1800.0,2800.0,1821.4285714285713,1913.3333333333333,85.91246929842265,269.7167522360863,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.2222222222222222,0.2222222222222222,-0.21428571428571427
Thiruvellore,Pumpkin,2026-04-30,3000.0,False,False,1.0,2026.0,4.0,3.0,18.0,2.0,,3000.0,,,2000.0,3000.0,,2583.3333333333335,,468.71843328054615,2.0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,,,0.0
Perambalur,Tomato,2026-05-04,4250.0,False,False,1.0,2026.0,5.0,0.0,19.0,2.0,,,,,,,,,,,85.0,0.49999999999999994,-0.8660254037844387,0.0,1.0,,,
Tuticorin,Bitter Gourd,2026-05-22,3750.0,False,False,1.0,2026.0,5.0,4.0,21.0,2.0,,,,,,,,,,,2.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,,,
Chengalpattu,Mint(Pudina),2026-06-12,6500.0,False,False,1.0,2026.0,6.0,4.0,24.0,2.0,,,,2750.0,,,3666.6666666666665,3055.5555555555557,144.33756729740642,450.12706993133315,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,,,
Chengalpattu,Bitter Gourd,2026-06-13,6500.0,False,False,1.0,2026.0,6.0,5.0,24.0,2.0,6500.0,6500.0,,6500.0,,,6500.0,6147.058823529412,0.0,492.5921830718893,1.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.0,,
Ranipet,Bitter Gourd,2026-06-14,4500.0,False,False,1.0,2026.0,6.0,6.0,24.0,2.0,4500.0,,,,4500.0,4500.0,,4466.666666666667,,129.09944487358183,1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,,0.0
Ranipet,Tomato,2026-06-14,3500.0,False,False,1.0,2026.0,6.0,6.0,24.0,2.0,3500.0,,,,3500.0,3000.0,,3350.0,,246.40269015237178,1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,,0.16666666666666666
Coimbatore,Tomato,2026-06-14,3750.0,False,False,1.0,2026.0,6.0,6.0,24.0,2.0,4000.0,,4650.0,3750.0,3750.0,3650.0,4537.5,4035.714285714286,361.4208073700242,347.18253741470943,1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,-0.0625,-0.1935483870967742,0.0273972602739726
Tenkasi,Bitter Gourd,2026-06-14,5000.0,False,False,1.0,2026.0,6.0,6.0,24.0,2.0,,,5000.0,5000.0,,,,,,,6.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,,0.0,
Coimbatore,Bitter Gourd,2026-06-14,3250.0,False,False,1.0,2026.0,6.0,6.0,24.0,2.0,3250.0,2850.0,2750.0,4250.0,4250.0,5250.0,2991.6666666666665,3887.5,215.44527534078549,800.169818932479,1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,0.18181818181818182,-0.38095238095238093
Coimbatore,Cabbage,2026-06-14,4250.0,False,False,1.0,2026.0,6.0,6.0,24.0,2.0,3750.0,,3750.0,,,,3650.0,3308.823529411765,418.3300132670378,428.7464628562749,1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.13333333333333333,0.13333333333333333,
Ariyalur,Bitter Gourd,2026-06-14,5700.0,False,False,1.0,2026.0,6.0,6.0,24.0,2.0,5700.0,5700.0,5700.0,5200.0,5100.0,5100.0,5350.0,5207.142857142857,437.7975178854491,419.5377274595282,1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.11764705882352941
Vellore,Banana - Green,2026-06-15,3000.0,False,False,7.0,2026.0,6.0,0.0,25.0,2.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0
Nagapattinam,Bhindi(Ladies Finger),2026-06-15,4750.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4741.666666666667,0.0,31.713516462871535,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0
Madurai,Pumpkin,2026-06-15,2200.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,2200.0,2200.0,2200.0,2200.0,1750.0,1750.0,2200.0,2035.0,0.0,220.55963303410607,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.2571428571428571
Thiruvellore,Mint(Pudina),2026-06-15,4500.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4000.0,4500.0,4500.0,4500.0,4500.0,4500.0,4357.142857142857,4400.0,243.97501823713313,203.41905108624917,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.125,0.0,0.0
Nilgiris,Bhindi(Ladies Finger),2026-06-15,4000.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,3800.0,3750.0,3200.0,3250.0,4250.0,4650.0,3685.714285714286,3836.6666666666665,365.96252735570397,562.7722840351452,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.05263157894736842,0.25,-0.13978494623655913
Tuticorin,Tomato,2026-06-15,4250.0,False,False,1.0,2026.0,6.0,0.0,25.0,2.0,4750.0,4750.0,4750.0,3750.0,,4250.0,4714.285714285715,4500.0,94.49111825230726,374.1657386773933,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.10526315789473684,-0.10526315789473684,0.0
Vellore,Bhindi(Ladies Finger),2026-06-15,3250.0,False,False,7.0,2026.0,6.0,0.0,25.0,2.0,3250.0,3125.0,2750.0,2750.0,3000.0,3600.0,3035.714285714286,3069.1666666666665,187.0033103858117,352.67960289599387,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.18181818181818182,-0.09722222222222222
Nagapattinam,Banana - Green,2026-06-15,2775.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2789.285714285714,2775.0,67.48015581318289,52.11062503347108,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.00909090909090909,0.00909090909090909,0.00909090909090909
Nilgiris,Banana - Green,2026-06-15,4250.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4250.0,4250.0,4250.0,4250.0,4250.0,4250.0,4250.0,4250.0,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0
Dindigul,Green Chilli,2026-06-15,5000.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,4750.0,4750.0,5250.0,5750.0,5000.0,5125.0,4982.142857142857,5128.333333333333,196.6989481175404,249.63191293192304,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.05263157894736842,-0.047619047619047616,-0.024390243902439025
Madurai,Tomato,2026-06-15,4100.0,False,False,7.0,2026.0,6.0,0.0,25.0,2.0,3850.0,4200.0,5100.0,3700.0,4000.0,4000.0,4578.571428571428,4263.333333333333,496.5356170987367,384.1545426565424,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.06493506493506493,-0.19607843137254902,0.025
Madurai,Mint(Pudina),2026-06-15,5500.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,5500.0,4750.0,4750.0,3800.0,3300.0,3300.0,4857.142857142857,3745.0,283.47335475692046,697.6994214979842,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.15789473684210525,0.6666666666666666
Nilgiris,Bitter Gourd,2026-06-15,3750.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,3500.0,3725.0,3300.0,4700.0,4700.0,5250.0,3564.285714285714,4342.5,210.08785010541214,610.8977988908229,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.07142857142857142,0.13636363636363635,-0.2857142857142857
Erode,Bhindi(Ladies Finger),2026-06-15,2450.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,2050.0,2175.0,2100.0,1400.0,2150.0,2650.0,2132.1428571428573,2103.3333333333335,59.0096844355009,390.99416463886666,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.1951219512195122,0.16666666666666666,-0.07547169811320754
