Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,row_id,min_price_zero_flag,key_dup_group_size,prices_differ_in_group
2025-02-20,Amaranthus,86,Ariyalur,Local,Ariyalur(Uzhavar Sandhai),3400.0,3000.0,3400.0,Tamil Nadu,Amaranthus,2794,False,2,True
2025-02-20,Chow Chow,167,Ariyalur,Local,Ariyalur(Uzhavar Sandhai),2600.0,2000.0,2600.0,Tamil Nadu,Chow Chow,2795,False,2,True
2025-02-20,Ginger(Green),103,Ariyalur,Local,Ariyalur(Uzhavar Sandhai),7000.0,6400.0,7000.0,Tamil Nadu,Green Ginger,4282,False,2,True
2025-02-20,Chow Chow,167,Ariyalur,Local,Ariyalur(Uzhavar Sandhai),3200.0,2600.0,3200.0,Tamil Nadu,Chow Chow,4321,False,2,True
2025-02-20,Banana - Green,90,Ariyalur,Local,Ariyalur(Uzhavar Sandhai),4000.0,3400.0,4000.0,Tamil Nadu,Banana - Green,4566,False,2,True
2025-02-20,Ginger(Green),103,Ariyalur,Local,Ariyalur(Uzhavar Sandhai),6400.0,5600.0,6400.0,Tamil Nadu,Green Ginger,8625,False,2,True
2025-02-20,Banana - Green,90,Ariyalur,Local,Ariyalur(Uzhavar Sandhai),3600.0,3000.0,3600.0,Tamil Nadu,Banana - Green,8626,False,2,True
2025-02-20,Amaranthus,86,Ariyalur,Local,Ariyalur(Uzhavar Sandhai),4500.0,4000.0,4500.0,Tamil Nadu,Amaranthus,9771,False,2,True
2025-05-27,Bhindi(Ladies Finger),85,Ariyalur,Local,Ariyalur(Uzhavar Sandhai),7200.0,6500.0,7200.0,Tamil Nadu,Bhindi,11989,False,2,True
2025-02-20,Pumpkin,84,Ariyalur,Local,Ariyalur(Uzhavar Sandhai),2800.0,2600.0,2800.0,Tamil Nadu,Pumpkin,12417,False,2,True
2025-02-20,Pumpkin,84,Ariyalur,Local,Ariyalur(Uzhavar Sandhai),2600.0,2000.0,2600.0,Tamil Nadu,Pumpkin,14629,False,2,True
